Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
sUITE1,Chrome 74.0.3729.169,,2019-06-18 14:38:00,2019-06-18 14:38:08,7.899s,PASSED
,,,,,,
Test Cases/TC1,Chrome 74.0.3729.169,,2019-06-18 14:38:00,2019-06-18 14:38:07,6.743s,PASSED
openBrowser,Chrome 74.0.3729.169,,2019-06-18 14:38:01,2019-06-18 14:38:04,3.121s,PASSED
navigateToUrl,Chrome 74.0.3729.169,,2019-06-18 14:38:04,2019-06-18 14:38:06,1.887s,PASSED
setText,Chrome 74.0.3729.169,,2019-06-18 14:38:06,2019-06-18 14:38:06,0.173s,PASSED
click,Chrome 74.0.3729.169,,2019-06-18 14:38:06,2019-06-18 14:38:06,0.001s,NOT_RUN
setText,Chrome 74.0.3729.169,,2019-06-18 14:38:06,2019-06-18 14:38:06,0.125s,PASSED
click,Chrome 74.0.3729.169,,2019-06-18 14:38:06,2019-06-18 14:38:06,0.410s,PASSED
selectOptionByValue,Chrome 74.0.3729.169,,2019-06-18 14:38:06,2019-06-18 14:38:06,0.188s,PASSED
setText,Chrome 74.0.3729.169,,2019-06-18 14:38:06,2019-06-18 14:38:07,0.136s,PASSED
setText,Chrome 74.0.3729.169,,2019-06-18 14:38:07,2019-06-18 14:38:07,0.108s,PASSED
setText,Chrome 74.0.3729.169,,2019-06-18 14:38:07,2019-06-18 14:38:07,0.089s,PASSED
click,Chrome 74.0.3729.169,,2019-06-18 14:38:07,2019-06-18 14:38:07,0.069s,PASSED
click,Chrome 74.0.3729.169,,2019-06-18 14:38:07,2019-06-18 14:38:07,0.086s,PASSED
